Bills, Buffalo/501/BUF/0//6.52/d
Scott, Artavis/13161/FA/0//3.35/w
Ford, Isaiah/13162/FA/0//3.35/w
Godwin, Chris/13163/TBB/2//8.16/w
Kupp, Cooper/13164/LAR/3//6.64/w
Switzer, Ryan/13165/PIT/0//3.35/w
Darboh, Amara/13166/FA/0//3.35/w
Taylor, Taywan/13167/CLE/0//3.35/w
Reynolds, Josh/13168/LAR/0//3.35/w
Chesson, Jehu/13169/FA/0//3.35/w
Gibson, Shelton/13170/FA/0//3.35/w
Henderson, Carlos/13171/FA/0//3.35/w
Brown, Noah/13172/DAL/0//3.35/w
Stewart, ArDarius/13173/FA/0//3.35/w
Jones, Zay/13176/BUF/0//3.51/w
Coley, Stacy/13177/FA/0//3.35/w
Dieter, Gehrig/13179/KCC/0//3.35/w
Hansen, Chad/13183/FA/0//3.35/w
Yancey, DeAngelo/13187/FA/0//3.35/w
Howard, O.J./13188/TBB/7//6.82/t
Engram, Evan/13189/NYG/10//6.38/t
Butt, Jake/13190/DEN/0//1.72/t
Hodges, Bucky/13191/NYJ/0//1.72/t
Njoku, David/13192/CLE/2//4.48/t
Smith, Jonnu/13193/TEN/0//1.72/t
Sprinkle, Jeremy/13194/WAS/0//1.72/t
Leggett, Jordan/13195/FA/0//1.72/t
Roberts, Michael/13197/FA/0//1.72/t
Mack, Marlon/13234/IND/5//7.5/r
Malone, Josh/13235/FA/0//3.35/w
Everett, Gerald/13236/LAR/0//2.33/t
Williams, Joe/13237/FA/0//2.06/r
Davis, Robert/13238/WAS/0//3.35/w
Penny, Elijhaa/13239/NYG/0//2.06/r
Hill, Brian/13240/ATL/0//2.06/r
Rosas, Aldrick/13241/NYG/2//4.71/k
Alie-Cox, Mo/13246/IND/7//1.72/t
Shaheen, Adam/13254/CHI/2//1.72/t
Golladay, Kenny/13277/DET/10//7.5/w
Williams, Chad/13280/FA/0//3.35/w
Langley, Brendan/13282/FA/0//3.35/w
Hollins, Mack/13289/PHI/0//3.35/w
Cohen, Tarik/13290/CHI/7//5.2/r
Kittle, George/13299/SFO/8//7.26/t
Elliott, Jake/13303/PHI/0//5.31/k
McKenzie, Isaiah/13313/BUF/0//3.35/w
Saubert, Eric/13315/FA/0//1.72/t
Taylor, Trent/13316/SFO/0//3.35/w
Jones, Aaron/13319/GBP/4//7.91/r
Armah, Alexander/13326/CAR/0//2.06/r
Henderson, De'Angelo/13334/FA/0//2.06/r
Gonzalez, Zane/13347/ARI/0//2.93/k
Moore, David/13348/SEA/0//3.35/w
Butker, Harrison/13354/KCC/0//6.17/k
Mays, Devante/13357/FA/0//2.06/r
Muhammad, Khalfani/13359/FA/0//2.06/r
Carson, Chris/13364/SEA/7/2021/9.5/r
Schreck, Mason/13366/FA/0//1.72/t
Carr, Austin/13367/NOS/0//3.35/w
Carter, Cethan/13369/CIN/0//1.72/t
Hogan, Krishawn/13370/FA/0//3.35/w
Hatcher, Keon/13371/FA/0//3.35/w
Gentry, Tanner/13372/FA/0//3.35/w
Bolden, Victor/13375/FA/0//3.35/w
Patrick, Tim/13377/DEN/0//3.35/w
Breida, Matt/13378/SFO/8//3.92/r
Seals-Jones, Ricky/13382/CLE/0//1.91/t
Mizzell, Taquan/13384/FA/0//3.35/w
Johnson, Marcus/13387/FA/0//3.35/w
Sloter, Kyle/13389/FA/0//5.93/q
Lenoir, Lance/13390/DAL/0//3.35/w
Hollister, Jacob/13391/FA/0//1.72/t
Daniels, Darrell/13396/ARI/0//1.72/t
White, Tim/13398/FA/0//3.35/w
Ekeler, Austin/13404/LAC/10//4.51/r
Adeboyejo, Quincy/13406/FA/0//3.35/w
Swoopes, Tyrone/13411/FA/0//1.72/t
Cole, Keelan/13412/JAC/0//3.39/w
Walker, Phillip/13416/FA/0//5.93/q
Bourne, Kendrick/13418/SFO/0//3.35/w
McCarron, Riley/13420/FA/0//3.35/w
Reilly, Brandon/13421/FA/0//3.35/w
Hill, Taysom/13424/NOS/0//5.93/q
Tonyan, Robert/13427/GBP/0//1.72/t
Davis, Reggie/13436/FA/0//3.35/w
Culkin, Sean/13438/LAC/0//1.72/t
Auclair, Antony/13445/TBB/7//1.72/t
Edmunds, Trey/13452/FA/0//2.06/r
Ricard, Patrick/13455/BAL/0//2.06/r
Baylis, Evan/13476/FA/0//1.72/t
Pascal, Zach/13488/IND/0//3.35/w
Kemp, Marcus/13503/KCC/0//3.35/w
Hall, Marvin/13505/FA/0//3.35/w
Mickens, Jaydon/13510/FA/0//3.35/w
Hikutini, Cole/13511/FA/0//1.72/t
Natson, JoJo/13529/LAR/0//3.35/w
Agudosi, Carlton/13538/FA/0//3.35/w
Wilson, Bobo/13544/TBB/0//3.35/w
Griffin, Garrett/13546/NOS/0//1.72/t
Vander Laan, Jason/13549/FA/0//1.72/t
Ficken, Sam/13564/FA/0//2.39/k
Brent, K.J./13573/TBB/0//3.35/w
Zylstra, Brandon/13585/CAR/0//3.35/w
Allen, Josh/13589/BUF/0//9.6/q
Mayfield, Baker/13590/CLE/3//16.5/q
Rosen, Josh/13591/MIA/0//5.93/q
Darnold, Sam/13592/NYJ/0//10.12/q
Jackson, Lamar/13593/BAL/9//12.91/q
Falk, Luke/13594/FA/0//5.93/q
Rudolph, Mason/13595/PIT/0//5.93/q
Barrett, J.T./13596/FA/0//5.93/q
White, Mike/13598/FA/0//5.93/q
Lee, Tanner/13599/FA/0//5.93/q
Benkert, Kurt/13600/ATL/0//5.93/q
Lauletta, Kyle/13601/FA/0//5.93/q
Flowers, Quinton/13603/FA/0//2.06/r
Barkley, Saquon/13604/NYG/9/2021/11.02/r
Guice, Derrius/13605/WAS/1//5.01/r
Jones, Ronald/13606/TBB/0//4.29/r
Michel, Sony/13607/NEP/1/2021/7/r
Penny, Rashaad/13608/SEA/0//5.23/r
Wadley, Akrum/13609/FA/0//2.06/r
Chubb, Nick/13610/CLE/2/2021/22/r
Adams, Josh/13611/FA/0//2.06/r
Johnson, Kerryon/13612/DET/5/2021/13/r
Samuels, Jaylen/13613/PIT/10//2.83/r
Lindsay, Phillip/13614/DEN/4//6.7/r
Scarbrough, Bo/13615/FA/0//2.06/r
Walton, Mark/13616/MIA/0//2.06/r
Freeman, Royce/13617/DEN/0//4.87/r
Kelly, John/13619/FA/0//2.06/r
Jackson, Justin/13620/LAC/10//2.71/r
Ballage, Kalen/13621/MIA/0//4.07/r
Hines, Nyheim/13622/IND/0//3.35/r
Williams, Darrel/13623/KCC/0//2.06/r
Webb, Ralph/13625/FA/0//2.06/r
Thomas, Roc/13628/FA/0//2.06/r
Ridley, Calvin/13629/ATL/0//6.86/w
Sutton, Courtland/13630/DEN/4//4.57/w
Washington, James/13631/PIT/10//3.77/w
Lazard, Allen/13632/GBP/0//3.35/w
Kirk, Christian/13633/ARI/0//6.28/w
Pettis, Dante/13634/SFO/1//4.84/w
Moore, D.J./13635/CAR/1//6.52/w
Cain, Deon/13636/IND/0//3.35/w
St. Brown, Equanimeous/13637/GBP/0//3.35/w
Berrios, Braxton/13638/NYJ/0//3.35/w
Miller, Anthony/13639/CHI/0//4.36/w
Callaway, Antonio/13640/CLE/0//3.35/w
McCloud, Ray-Ray/13641/CAR/0//3.35/w
Tate, Auden/13642/CIN/0//3.35/w
Cobbs, Simmie/13643/FA/0//3.35/w
Wims, Javon/13644/CHI/0//3.35/w
Smith, Tre'Quan/13645/NOS/0//3.72/w
Gallup, Michael/13646/DAL/0//4.19/w
Ateman, Marcell/13647/FA/0//3.35/w
Burnett, Deontay/13648/FA/0//3.35/w
Hamilton, DaeSean/13649/DEN/0//4.13/w
Wilson, Cedrick/13652/FA/0//3.35/w
Foster, Robert/13653/BUF/0//3.35/w
Phillips, Cam/13655/FA/0//3.35/w
Weah, Jester/13656/FA/0//3.35/w
Moore, J'Mon/13657/FA/0//3.35/w
Lasley, Jordan/13658/FA/0//3.35/w
Mitchell, Steven/13659/FA/0//3.35/w
Coutee, Keke/13662/HOU/0//4.68/w
Scott, Jaleel/13663/BAL/0//3.35/w
Quinn, Trey/13664/WAS/0//3.35/w
Fountain, Daurice/13666/IND/0//3.35/w
Chark, D.J./13668/JAC/0//3.35/w
Turner, Malik/13669/SEA/0//3.35/w
Andrews, Darren/13670/FA/0//3.35/w
Andrews, Mark/13671/BAL/9//4.39/t
Gesicki, Mike/13672/MIA/0//2.15/t
Fumagalli, Troy/13673/DEN/0//1.72/t
Goedert, Dallas/13674/PHI/4//2.53/t
Conklin, Tyler/13675/MIN/0//1.72/t
Smythe, Durham/13676/MIA/0//1.72/t
Thomas, Ian/13678/CAR/0//2/t
Herndon, Chris/13679/NYJ/8//2.57/t
Hurst, Hayden/13680/BAL/5//1.72/t
Carlson, Daniel/13718/OAK/0//4.22/k
Pineiro, Eddy/13719/CHI/6//2.39/k
Jarwin, Blake/13722/DAL/0//1.72/t
James, Richie/13724/SFO/0//3.35/w
Warren, Chris/13725/FA/0//2.06/r
Edmonds, Chase/13726/ARI/6//2.06/r
Brown, Billy/13728/IND/0//1.72/t
Akins, Jordan/13753/HOU/7//1.72/t
Dissly, Will/13763/SEA/5//1.78/t
Smith, Ito/13768/ATL/8//3.29/r
Schultz, Dalton/13772/DAL/0//1.72/t
Watson, Justin/13776/TBB/0//3.35/w
Wilkins, Jordan/13789/IND/0//2.06/r
Valdes-Scantling, Marquez/13793/GBP/1//5.04/w
Ratley, Damion/13794/CLE/0//3.35/w
Cantrell, Dylan/13807/LAC/0//3.35/w
Gage, Russell/13809/ATL/0//3.35/w
Smith, Tremon/13811/KCC/0//2.06/r
Scott, Boston/13814/FA/0//2.06/r
Cannon, Trenton/13816/NYJ/0//2.06/r
Thomas, Jordan/13819/HOU/0//1.72/t
Etling, Danny/13824/FA/0//3.35/q
McGough, Alex/13825/FA/0//5.93/q
Williams, David/13830/FA/0//2.06/r
Sanders, Jason/13832/MIA/0//2.39/k
Bawden, Nick/13838/DET/0//2.06/r
Woodside, Logan/13846/FA/0//5.93/q
Izzo, Ryan/13847/NEP/0//1.72/t
Nall, Ryan/13849/FA/0//2.06/r
Edwards, Gus/13850/BAL/4//2.06/r
Hollister, Cody/13851/FA/0//3.35/w
Yelder, Deon/13857/KCC/0//1.72/t
Alexander, Deontez/13858/FA/0//3.35/w
Roberts, Austin/13861/FA/0//1.72/t
Cracraft, River/13862/FA/0//3.35/w
Pringle, Byron/13863/KCC/0//3.35/w
Carter, Martez/13865/FA/0//2.06/r
Boone, Mike/13868/MIN/0//2.06/r
Hilliard, Dontrell/13871/CLE/0//2.06/r
Hunt, Cole/13872/FA/0//1.72/t
Boyle, Tim/13873/GBP/0//5.93/q
Wilson, Shaun/13874/WAS/0//2.06/r
Thompson, Mark/13875/FA/0//2.06/r
Vedvik, Kaare/13877/NYJ/0//2.39/k
Board, C.J./13878/JAC/0//3.35/w
Allen, Kyle/13879/CAR/0//5.93/q
Arnold, Dan/13880/FA/0//1.72/t
Veasy, Jordan/13881/FA/0//3.35/w
Kirkwood, Keith/13882/NOS/0//3.35/w
Patterson, Damoun/13883/FA/0//3.35/w
Smith, Vyncint/13884/FA/0//3.35/w
Croom, Jason/13890/BUF/0//1.72/t
Newsome, Detrez/13891/FA/0//2.06/r
Litton, Chase/13892/FA/0//5.93/q
Sherfield, Trent/13893/ARI/0//3.35/w
Sims, Cam/13895/FA/0//3.35/w
Martin, Robert/13896/FA/0//2.06/r
Joseph, Greg/13898/FA/0//4.42/k
Ishmael, Steve/13899/IND/0//3.35/w
Bertolet, Taylor/13900/FA/0//2.39/k
McCrane, Matthew/13901/FA/0//2.39/k
Grant, Janarion/13904/FA/0//3.35/w
Jones, J.J./13905/FA/0//3.35/w
Maher, Brett/13909/DAL/0//5.19/k
Powell, Brandon/13910/FA/0//3.35/w
Willies, Derrick/13911/FA/0//3.35/w
Batson, Cameron/13912/TEN/0//3.35/w
Howell, Buddy/13916/HOU/0//2.06/r
Firkser, Anthony/13919/TEN/0//1.72/t
Ortiz, Ricky/13924/FA/0//2.06/r
Mundt, Johnny/13940/LAR/0//1.72/t
Turner, De'Lance/13958/FA/0//2.06/r
Dawkins, Dalyn/13961/TEN/0//2.06/r
Hodge, KhaDarel/13963/CLE/0//3.35/w
Mullens, Nick/13968/SFO/0//5.93/q
Davis, Jawill/13969/FA/0//3.35/w
Grinnage, David/13979/FA/0//1.72/t
Badgley, Mike/13980/LAC/0//5.23/k
Dwelley, Ross/13988/SFO/0//1.72/t
Scott, Da'Mari/13990/FA/0//0/w
Henderson, Quadree/13991/FA/0//3.35/w
Brown, Pharaoh/13994/CLE/0//0/t
Franks, Jordan/13995/FA/0//1.72/t
Beebe, Chad/13999/MIN/0//3.35/w
Blacknall, Saeed/14009/FA/0//3.35/w
Tolliver, Jalen/14015/FA/0//3.35/w
Wilson, Jeffery/14017/FA/0//2.06/r
Ford, Keith/14029/FA/0//2.06/r
Coleman, Lavon/14035/FA/0//0/r
Lacy, Chris/14045/DET/0//3.35/w
Kidsy, Darvin/14046/FA/0//3.35/w
Jones, Redford/14053/FA/0//0/k
Murray, Kyler/14056/ARI/1//14.21/q
Lock, Drew/14057/DEN/0//5.93/q
Haskins, Dwayne/14058/WAS/0//5.93/q
Jones, Daniel/14059/NYG/0//5.93/q
Jackson, Tyree/14060/FA/0//5.93/q
McSorley, Trace/14061/BAL/0//5.93/q
Grier, Will/14062/CAR/0//5.93/q
Stidham, Jarrett/14063/NEP/0//5.93/q
Thorson, Clayton/14064/FA/0//5.93/q
Rypien, Brett/14065/FA/0//5.93/q
Shurmur, Kyle/14066/FA/0//5.93/q
Minshew, Gardner/14067/JAC/0//5.93/q
Finley, Ryan/14068/CIN/0//5.93/q
Stick, Easton/14069/LAC/0//5.93/q
Blough, David/14070/DET/0//5.93/q
Montgomery, David/14071/CHI/9/2022/7/r
Snell, Benny/14072/PIT/0//2.06/r
Jacobs, Josh/14073/OAK/2//7.25/r
Williams, Dexter/14074/GBP/0//2.06/r
Harris, Damien/14075/NEP/0//3.05/r
Williams, Trayveon/14076/CIN/0//2.06/r
Weber, Mike/14077/FA/0//2.06/r
Higdon, Karan/14078/FA/0//2.06/r
Sanders, Miles/14079/PHI/5//4.69/r
Singletary, Devin/14080/BUF/5//2.3/r
Gaskin, Myles/14081/MIA/0//2.06/r
Love, Bryce/14082/WAS/0//2.06/r
Homer, Travis/14083/SEA/0//2.06/r
Holyfield, Elijah/14084/FA/0//2.06/r
Pollard, Tony/14085/DAL/6//2.06/r
Hill, Justice/14086/BAL/9//2.44/r
Henderson, Darrell/14087/LAR/1//4.36/r
Anderson, Rodney/14088/CIN/0//2.06/r
Brossette, Nick/14089/FA/0//2.06/r
Scott, LJ/14090/FA/0//0/r
Watson, Tre/14091/FA/0//0/r
Moore, Jalin/14092/NYJ/0//2.06/r
Armstead, Ryquell/14093/JAC/8//2.06/r
Scarlett, Jordan/14094/CAR/0//2.06/r
Johnson, Ty/14095/DET/0//2.06/r
Ozigbo, Devine/14096/JAC/0//2.06/r
Ollison, Qadree/14097/ATL/8//2.06/r
Crockett, Damarea/14098/FA/0//2.06/r
Hall, Darrin/14099/GBP/0//2.06/r
Evans, Nico/14100/FA/0//0/r
Harry, N'Keal/14101/NEP/0//3.59/w
Metcalf, DK/14102/SEA/4//3.55/w
Ridley, Riley/14103/CHI/0//3.35/w
Brown, A.J./14104/TEN/0//3.35/w
Brown, Marquise/14105/BAL/0//3.35/w
Butler, Hakeem/14106/ARI/0//3.35/w
Arcega-Whiteside, JJ/14107/PHI/0//3.35/w
Dortch, Greg/14108/FA/0//3.35/w
McLaurin, Terry/14109/WAS/0//3.35/w
Sills, David/14110/FA/0//3.35/w
Lodge, DaMarkus/14111/TBB/0//3.35/w
Campbell, Parris/14112/IND/0//3.47/w
Hardman, Mecole/14113/KCC/0//3.35/w
Harmon, Kelvin/14114/WAS/0//3.35/w
Hall, Emanuel/14115/FA/0//3.35/w
Hurd, Jalen/14116/SFO/0//3.35/w
Johnson, Tyron/14117/FA/0//3.35/w
Humphrey, Lil'Jordan/14118/FA/0//3.35/w
Johnson, Anthony/14119/FA/0//3.35/w
Jennings, Gary/14120/SEA/0//3.35/w
Isabella, Andy/14121/ARI/0//3.35/w
Slayton, Darius/14122/NYG/0//3.35/w
Renfrow, Hunter/14123/OAK/0//3.35/w
Johnson, KeeSean/14124/ARI/0//3.35/w
Boykin, Miles/14125/BAL/0//3.35/w
Williams, Preston/14126/MIA/0//3.35/w
Meyers, Jakobi/14127/NEP/0//3.35/w
Brady, Tyre/14128/FA/0//3.35/w
Mitchell, Dillon/14129/FA/0//3.35/w
Wesley, Antoine/14130/FA/0//3.35/w
Morgan, Stanley/14131/FA/0//3.35/w
Custis, Jamal/14132/KCC/0//3.35/w
Tarver, Ron'Quavion/14133/FA/0//0/w
Dixon, Johnnie/14134/HOU/0//3.35/w
Snelson, Dredrick/14135/FA/0//0/w
Samuel, Deebo/14136/SFO/0//3.81/w
Fant, Noah/14137/DEN/5//2.41/t
Hockenson, T.J./14138/DET/5//2.63/t
Mack, Alize/14139/FA/0//1.72/t
Sternberger, Jace/14140/GBP/0//1.72/t
Smith Jr., Irv/14141/MIN/9//1.72/t
Smith, Kaden/14142/SFO/0//1.72/t
Knox, Dawson/14143/BUF/0//1.72/t
Nauta, Isaac/14144/FA/0//1.72/t
Wilson, Caleb/14145/FA/0//1.72/t
Sample, Drew/14146/CIN/0//1.72/t
Tracy, Cole/14187/FA/0//0/k
Crockett, Josh/14188/FA/0//0/w
Michel, Marken/14189/FA/0//3.35/w
Barnes, Alex/14191/FA/0//2.06/r
Williams, James/14192/FA/0//0/r
Russell, Alonzo/14193/FA/0//3.35/w
Wade, Christian/14194/BUF/0//2.06/r
Warring, Kahale/14195/HOU/0//1.72/t
Perez, Luis/14196/FA/0//0/q
Johnson, Diontae/14208/PIT/0//3.35/w
Oliver, Josh/14209/JAC/5//1.72/t
Mattison, Alexander/14223/MIN/2//2.06/r
Wesco, Trevon/14231/NYJ/0//1.72/t
Moreau, Foster/14239/OAK/0//1.72/t
Gentry, Zach/14240/PIT/0//1.72/t
Gay, Matt/14244/TBB/0//3.38/k
Seibert, Austin/14258/CLE/7//2.39/k
Fulgham, Travis/14265/DET/0//3.35/w
Winfree, Juwann/14267/DEN/0//3.35/w
Green, Marcus/14277/FA/0//3.35/w
Miller, Scott/14280/TBB/0//3.35/w
Thompson, Darwin/14284/KCC/6//2.06/r
Gillaspia, Cullen/14287/HOU/0//2.06/r
Whyte, Kerrith/14289/CHI/0//2.06/r
Sweeney, Tommy/14294/BUF/0//1.72/t
Cox, Chandler/14295/MIA/0//2.06/r
Ursua, John/14297/SEA/0//3.35/w
Godwin, Terry/14298/FA/0//3.35/w
Johnson, Olabisi/14305/MIN/0//3.35/w
Blewitt, Chris/14312/FA/0//0/k
Butler, Emmanuel/14313/FA/0//3.35/w
Anderson, Bruce/14314/FA/0//2.06/r
Dulin, Ashton/14315/FA/0//3.35/w
Hart, Penny/14316/IND/0//3.35/w
Doss, Keelan/14317/OAK/0//3.35/w
Ferguson, Jazz/14318/FA/0//3.35/w
Beck, Andrew/14319/DEN/0//1.72/t
Badet, Jeff/14320/FA/0//3.35/w
Thompson, Cody/14321/FA/0//3.35/w
Horn, Reece/14323/FA/0//3.35/w
Raymond, Dax/14324/CHI/0//1.72/t
Smith, Jaylen/14327/FA/0//3.35/w
White Jr., Reggie/14329/FA/0//3.35/w
Shepherd, Darrius/14330/GBP/0//3.35/w
Johnson, D'Ernest/14331/CLE/0//2.06/r
Conrad, C.J./14332/FA/0//1.72/t
Hills, Wes/14333/FA/0//2.06/r
Gray, Devin/14334/FA/0//3.35/w
Fry, Elliott/14335/FA/0//0/k
Johnson, Jon'Vea/14336/DAL/0//3.35/w
Guyton, Jalen/14337/FA/0//3.35/w
Hilliman, Jon/14338/FA/0//2.06/r
Grayson, Cyril/14339/FA/0//3.35/w
Richardson, A.J./14340/FA/0//3.35/w
Parham, Donald/14341/FA/0//1.72/t
Dolegala, Jacob/14344/CIN/0//5.93/q
Hyman, Ishmael/14348/FA/0//3.35/w
Sheehy-Guiseppi, Damon/14349/FA/0//3.35/w
Chunn, Jordan/14350/DAL/0//2.06/r
McElroy, Codey/14351/FA/0//1.72/t
Ratliff-Williams, Anthony/14354/TEN/0//3.35/w
Browning, Jake/14358/FA/0//5.93/q
Patton, Andre/14365/FA/0//3.35/w
Hudson, Tanner/14370/TBB/0//1.72/t
Holtz, J.P./14372/WAS/0//0/t
Willis, Damion/14373/CIN/0//3.35/w
Hedlund, Cole/14393/FA/0//2.39/k
Brown, Jon/14419/FA/0//2.39/k
Ingold, Alec/14420/OAK/0//2.06/r
Wright, Matthew/14426/FA/0//2.39/k
Bonnafon, Reggie/14435/CAR/10//2.06/r
Caldwell, Josh/14445/FA/0//2.06/r
Davis, Felton/14450/KCC/0//3.35/w
Cox, Jeremy/14458/FA/0//2.06/r
Bane, Shawn/14461/FA/0//3.35/w
Lewis, Kahlil/14463/FA/0//3.35/w
Graham, Jaeden/14464/ATL/0//0/t
Brooks-James, Tony/14465/FA/0//0/r
Easley, Nick/14471/BUF/0//0/w
Ellis, Jordan/14480/FA/0//2.06/r
Montgomery, D.J./14486/CLE/0//3.35/w
Jackson, Devontae/14496/FA/0//2.06/r
McKnight, Kelvin/14498/FA/0//3.35/w
Benson, Trinity/14499/FA/0//3.35/w
Fort, Austin/14501/DEN/0//1.72/t
Anderson, Drew/14510/FA/0//5.93/q
Turner, Xavier/14512/FA/0//0/r
Simms, Marcus/14544/JAC/0//3.35/w
Moore, Jason/14545/FA/0//3.35/w
Webster, Nsimba/14549/LAR/0//0/w
Olszewski, Gunner/14555/NEP/0//3.35/w
Harris, Deonte/14558/NOS/0//0/w
Wesley, Alex/14560/FA/0//3.35/w
Spencer, Diontae/14565/DEN/0//3.35/w
Williams, Daniel/14576/FA/0//0/w
Lovett, John/14591/KCC/0//1.72/t
Zaccheaus, Olamide/14592/ATL/0//3.35/w
Slye, Joey/14600/CAR/8//2.39/k
Laird, Patrick/14612/MIA/0//2.06/r
Sims, Steven/14613/WAS/0//0/w
Hodges, Devlin/14618/FA/0//5.93/q
Vizcaino, Tristan/14650/FA/0//2.39/k
Hentges, Hale/14654/IND/0//0/t
Dillon, Brandon/14665/MIN/0//0/t
